Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,sec,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_pred_err2,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c
289.9,301.8,315,319.9,320,43,2022-03-04T03:20:58,0,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1771.435337,1433.126807,2130.058355,1,2717.011162,0,1771.435337,1
289.9,301.8,315,319.9,320,43,2022-03-04T03:20:59,1,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1771.435337,1433.126807,2130.058355,1,2717.011162,0,1771.435337,1
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:00,2,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1771.435337,1433.126807,2130.058355,1,2717.011162,0,1771.435337,1
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:01,3,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1783.540971,1431.576497,2142.090503,1,2728.855493,0,1783.540971,1
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:02,4,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1783.540971,1431.576497,2142.090503,1,2728.855493,0,1783.540971,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:03,5,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1783.540971,1431.576497,2142.090503,1,2728.855493,0,1783.540971,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:04,6,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1748.494625,1445.710835,2107.208061,1,2695.182514,0,1748.494625,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:05,7,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1748.494625,1445.710835,2107.208061,1,2695.182514,0,1748.494625,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:06,8,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1748.494625,1445.710835,2107.208061,1,2695.182514,0,1748.494625,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:07,9,0,0.234,3.052,0,0,95,40,1,1,1762.53568,1409.797021,2121.159048,0,2708.238753,0,1762.53568,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:08,10,0,0.234,3.052,0,0,95,40,1,1,1762.53568,1409.797021,2121.159048,0,2708.238753,0,1762.53568,1
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:09,11,0,0.234,3.088,0,0,95,40,1,1,1762.53568,1409.797021,2121.159048,0,2708.238753,0,1762.53568,1
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:10,12,0,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1769.502708,1461.956785,2128.136723,0,2715.800127,0,1769.502708,1
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:11,13,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1769.502708,1461.956785,2128.136723,0,2715.800127,0,1769.502708,1
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:12,14,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1769.502708,1461.956785,2128.136723,0,2715.800127,0,1769.502708,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:13,15,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1777.578659,1444.772084,2136.41428,0,2723.244726,0,1777.578659,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:14,16,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1777.578659,1444.772084,2136.41428,0,2723.244726,0,1777.578659,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:15,17,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1777.578659,1444.772084,2136.41428,0,2723.244726,0,1777.578659,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:16,18,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1777.578659,1444.772084,2136.41428,0,2723.244726,0,1777.578659,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:17,19,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1755.519429,1413.436635,2108.841858,0,2692.675264,0,1755.519429,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:18,20,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1755.519429,1413.436635,2108.841858,0,2692.675264,0,1755.519429,1
289.8,301.7,315.1,319.9,320,43,2022-03-04T03:21:19,21,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1719.061315,1308.602216,2071.381123,0,2655.197947,0,1719.061315,1
289.8,301.7,315.1,319.9,320,43,2022-03-04T03:21:20,22,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1718.957806,1447.309609,2072.530018,0,2658.568003,0,1718.957806,1
289.9,301.7,315.1,319.9,320,43,2022-03-04T03:21:21,23,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1742.184433,1419.118627,2100.006262,0,2685.690083,0,1742.184433,1
