Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_pred_err2,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c,Act_a_optimal,Act_b_optimal,Act_c_optimal,Best_optimal,sec
289.9,301.8,315,319.9,320,43,2022-03-04T03:20:58,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1771.435337,1433.126807,2130.058355,1,2717.011162,0,1771.435337,1,725.6143981,589.206469,698.6471749,A,0
289.9,301.8,315,319.9,320,43,2022-03-04T03:20:59,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1771.435337,1433.126807,2130.058355,1,2717.011162,0,1771.435337,1,718.2169913,642.6894378,703.6912736,A,1
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:00,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1771.435337,1433.126807,2130.058355,1,2717.011162,0,1771.435337,1,719.7364917,593.306864,694.0248192,A,2
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:01,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1783.540971,1431.576497,2142.090503,1,2728.855493,0,1783.540971,1,708.1627845,618.0740935,701.5080528,A,3
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:02,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1783.540971,1431.576497,2142.090503,1,2728.855493,0,1783.540971,1,743.6441503,609.2747418,701.2706537,A,4
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:03,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1783.540971,1431.576497,2142.090503,1,2728.855493,0,1783.540971,1,736.114104,630.5674953,699.0984135,A,5
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:04,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1748.494625,1445.710835,2107.208061,1,2695.182514,0,1748.494625,1,743.3472605,625.6841189,661.9939249,A,6
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:05,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1748.494625,1445.710835,2107.208061,1,2695.182514,0,1748.494625,1,672.5024275,581.1730303,684.5040857,C,7
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:06,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1748.494625,1445.710835,2107.208061,1,2695.182514,0,1748.494625,1,703.8508426,618.2051036,687.3849337,A,8
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:07,0,0.234,3.052,0,0,95,40,1,1,1762.53568,1409.797021,2121.159048,0,2708.238753,0,1762.53568,1,665.7261997,638.7988272,669.2076348,C,9
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:08,0,0.234,3.052,0,0,95,40,1,1,1762.53568,1409.797021,2121.159048,0,2708.238753,0,1762.53568,1,721.6066687,637.0091544,677.3614036,A,10
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:09,0,0.234,3.088,0,0,95,40,1,1,1762.53568,1409.797021,2121.159048,0,2708.238753,0,1762.53568,1,748.9181386,628.8936274,670.1695512,A,11
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:10,0,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1769.502708,1461.956785,2128.136723,0,2715.800127,0,1769.502708,1,755.9864235,645.2334905,690.1962138,A,12
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:11,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1769.502708,1461.956785,2128.136723,0,2715.800127,0,1769.502708,1,714.2484335,630.3795099,685.4776024,A,13
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:12,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1769.502708,1461.956785,2128.136723,0,2715.800127,0,1769.502708,1,726.3649848,591.7280314,700.3609191,A,14
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:13,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1777.578659,1444.772084,2136.41428,0,2723.244726,0,1777.578659,1,735.9725669,637.2838943,685.4087539,A,15
