Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c,sec
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:08,0,0.234,3.052,0,0,95,40,1,1,3659.688219,4125.150052,0,5095.193736,0,3659.688219,1,0
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:09,0,0.234,3.088,0,0,95,40,1,1,3638.392999,4110.842457,0,5075.896427,0,3638.392999,1,1
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:10,0,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3620.4523,4110.070244,0,5080.029096,0,3620.4523,1,2
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:11,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3621.794597,4108.578182,0,5083.035562,0,3621.794597,1,3
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:12,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3566.844552,4079.098616,0,5070.577509,0,3566.844552,1,4
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:13,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3640.229625,4162.487205,0,5159.273146,0,3640.229625,1,5
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:14,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3605.599408,4156.633813,0,5185.610096,0,3605.599408,1,6
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:15,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3469.884974,4036.124165,0,5061.675409,0,3469.884974,1,7
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:16,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3508.315863,4084.626297,0,5112.530488,0,3508.315863,1,8
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:17,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3491.046138,4065.062623,0,5084.01584,0,3491.046138,1,9
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:18,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3520.491492,4070.746003,0,5093.796979,0,3520.491492,1,10
289.8,301.7,315.1,319.9,320,43,2022-03-04T03:21:19,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3543.268999,4105.84995,0,5092.534626,0,3543.268999,1,11
289.8,301.7,315.1,319.9,320,43,2022-03-04T03:21:20,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3705.616073,4273.360591,0,5255.136544,0,3705.616073,1,12
289.9,301.7,315.1,319.9,320,43,2022-03-04T03:21:21,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3748.861078,4315.835129,0,5300.274381,0,3748.861078,1,13
289.9,301.7,315,320,320,43,2022-03-04T03:21:22,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3721.888064,4283.07191,0,5277.164878,0,3721.888064,1,14
289.9,301.7,315,320,320,43,2022-03-04T03:21:23,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3733.10855,4288.418755,0,5279.126133,0,3733.10855,1,15
289.9,301.7,315,320,320,43,2022-03-04T03:21:24,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3608.524883,4134.034697,0,5108.178583,0,3608.524883,1,16
