episode,DDQN,PPO,Proposed
0,12.39999962,15.60000038,9.666666985
5,9.600000381,9.800000191,9.333333015
10,10.19999981,8.800000191,144.3333282
15,9.399999619,9.800000191,151.3333282
20,9.399999619,9,261.6666565
25,9.600000381,9.800000191,248
30,9.600000381,9.600000381,275.3333435
35,8.600000381,14.19999981,248.6666718
40,9.199999809,244.3999939,373.6666565
45,10,201,500
50,16,160.8000031,218.6666718
55,18,251.6000061,220
60,276,119.5999985,311
65,173.8000031,158.3999939,238.6666718
70,311.3999939,184.6000061,192
75,229,166.3999939,180
80,274.2000122,229.3999939,328.3333435
85,159.3999939,164.1999969,270
90,138.3999939,176.6000061,379.6666565
95,147.1999969,161.3999939,437.3333435
100,132.1999969,316,287
105,143,327.3999939,249
110,105.1999969,500,441.3333435
115,118.4000015,303.2000122,482.6666565
120,117.8000031,180.6000061,456.6666565
125,437,500,465.6666565
130,280,500,333.6666565
135,278.7999878,500,320.6666565
140,477.7999878,500,401
145,264.6000061,403.7999878,314
150,161.3999939,464.3999939,453.6666565
155,500,152,457
160,500,500,451
165,500,500,433.6666565
170,137.3999939,500,421
175,407.7999878,500,407.3333435
180,87.19999695,500,373.3333435
185,192.8000031,500,500
190,183.1999969,500,445
195,192.3999939,500,500
200,497.2000122,500,414.6666565
