episode,DQN,DDQN,PPO
0,12.39999962,15.60000038,9.666666985
5,9.600000381,9.800000191,9.333333015
10,10.19999981,8.800000191,144.3333282
15,9.399999619,9.800000191,151.3333282
20,9.399999619,9,261.6666565
25,9.600000381,9.800000191,248
30,9.600000381,9.600000381,275.3333435
35,8.600000381,14.19999981,248.6666718
40,9.199999809,244.3999939,373.6666565
45,10,201,500
50,16,160.8000031,218.6666718
55,18,251.6000061,220
60,276,119.5999985,311
65,173.8000031,158.3999939,238.6666718
70,311.3999939,184.6000061,192
75,229,166.3999939,180
80,274.2000122,229.3999939,328.3333435
85,159.3999939,164.1999969,270
90,138.3999939,176.6000061,379.6666565
95,147.1999969,161.3999939,437.3333435
100,132.1999969,316,287
105,143,327.3999939,249
110,105.1999969,500,441.3333435
115,118.4000015,303.2000122,482.6666565
120,117.8000031,180.6000061,456.6666565
125,437,500,465.6666565
130,280,500,333.6666565
135,278.7999878,500,320.6666565
140,477.7999878,500,401
145,264.6000061,403.7999878,314
150,161.3999939,464.3999939,453.6666565
155,500,152,457
160,500,500,451
165,500,500,433.6666565
170,137.3999939,500,421
175,407.7999878,500,407.3333435
180,87.19999695,500,373.3333435
185,192.8000031,500,500
190,183.1999969,500,445
195,192.3999939,500,500
200,497.2000122,500,414.6666565
205,443,500,500
210,159.3999939,500,500
215,500,500,500
220,247,500,500
225,183.3999939,500,451.6666565
230,500,131,500
235,500,184.3999939,407.3333435
240,500,148.3999939,438.6666565
245,138.1999969,42.40000153,434.3333435
250,500,130.6000061,500
255,23.20000076,500,500
260,153.3999939,500,439.3333435
265,255,500,489.3333435
270,152.6000061,417.3999939,419.6666565
275,244.8000031,116.4000015,419.3333435
280,500,500,500
285,500,151.3999939,398.3333435
290,111.4000015,500,311
295,111.4000015,117.8000031,451
300,143,500,429.6666565
305,133.8000031,193,500
310,115.5999985,500,452
315,106.1999969,500,477.6666565
320,95.19999695,199.8000031,483.6666565
325,112.8000031,500,500
330,164,500,461.6666565
335,124.1999969,203,422.6666565
340,500,492,414.6666565
345,500,148.1999969,450.3333435
350,189.6000061,500,500
355,19.39999962,500,434.3333435
360,31.20000076,468.3999939,388.3333435
365,192.3999939,500,440.3333435
370,142,61.59999847,449.6666565
375,500,125.8000031,322.6666565
380,500,256.2000122,437
385,500,84.59999847,484.6666565
390,149.8000031,500,377
395,176.1999969,500,463.3333435
400,187.6000061,462.3999939,500
405,500,500,500
410,500,500,482
415,500,500,500
420,500,500,500
425,500,97.59999847,500
430,266.3999939,108,500
435,103.8000031,112,500
440,138.1999969,160.6000061,500
445,192.3999939,500,500
450,142,500,463.3333435
455,500,500,500
460,500,500,500
465,500,500,500
470,149.8000031,84.59999847,500
475,176.1999969,500,500
480,187.6000061,500,500
485,500,462.3999939,500
490,137.3999939,500,500
495,407.7999878,500,500
500,407.7999878,500,500
