Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c,sec
290,301.7,315,319.9,320.1,43,2022-03-04T03:20:48,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,0
290,301.7,315,319.9,320.1,43,2022-03-04T03:20:49,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:20:50,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,2
289.9,301.7,315,319.9,320.1,43,2022-03-04T03:20:51,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,3
289.9,301.7,315,319.9,320.1,43,2022-03-04T03:20:52,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,4
289.9,301.7,315,319.9,320.1,43,2022-03-04T03:20:53,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,5
289.9,301.8,314.9,319.9,320,43,2022-03-04T03:20:54,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,6
289.9,301.8,314.9,319.9,320,43,2022-03-04T03:20:55,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,7
289.9,301.8,314.9,319.9,320,43,2022-03-04T03:20:56,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,8
289.9,301.8,315,319.9,320,43,2022-03-04T03:20:57,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,9
289.9,301.8,315,319.9,320,43,2022-03-04T03:20:58,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,10
289.9,301.8,315,319.9,320,43,2022-03-04T03:20:59,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,11
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:00,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,12
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:01,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,13
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:02,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,14
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:03,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,15
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:04,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,16
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:05,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,17
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:06,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,3946.079955,3946.079955,1,3946.079955,0,3946.079955,1,18
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:07,0,0.234,3.052,0,0,95,40,1,1,3886.416507,3886.416507,0,3886.416507,0,3886.416507,1,19
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:08,0,0.234,3.052,0,0,95,40,1,1,3886.416507,3886.416507,0,3886.416507,0,3886.416507,1,20
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:09,0,0.234,3.088,0,0,95,40,1,1,3886.416507,3886.416507,0,3886.416507,0,3886.416507,1,21
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:10,0,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.148845,3887.148845,0,3887.148845,0,3887.148845,1,22
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:11,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,23
290,301.8,315,319.9,320.1,43,2022-03-04T03:21:12,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,24
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:13,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,25
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:14,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,26
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:15,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,27
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:16,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,28
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:17,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,29
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:18,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,30
289.8,301.7,315.1,319.9,320,43,2022-03-04T03:21:19,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,31
289.8,301.7,315.1,319.9,320,43,2022-03-04T03:21:20,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,32
289.9,301.7,315.1,319.9,320,43,2022-03-04T03:21:21,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,33
289.9,301.7,315,320,320,43,2022-03-04T03:21:22,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,34
289.9,301.7,315,320,320,43,2022-03-04T03:21:23,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,35
289.9,301.7,315,320,320,43,2022-03-04T03:21:24,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,36
289.9,301.8,315,319.9,320,43,2022-03-04T03:21:25,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,37
289.9,301.8,315,319.9,320,43,2022-03-04T03:21:26,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,38
289.9,301.8,315,319.9,320,43,2022-03-04T03:21:27,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,39
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:28,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,40
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:29,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,41
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:30,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,42
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:31,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,43
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:32,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,44
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:33,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,45
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:34,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,46
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:35,1476.26917,0.234,3.074,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,47
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:36,1476.26917,0.234,3.074,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,48
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:37,1476.26917,0.234,3.074,0.8890028,1.41334462,95,40,1,1,3887.252693,3887.252693,0,3887.252693,0,3887.252693,1,49
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:38,0,0.234,3.074,0,0,95,40,1,1,3886.416507,3886.416507,0,3886.416507,0,3886.416507,1,50
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:39,0,0.234,3.074,0,0,95,40,1,1,3886.416507,3886.416507,0,3886.416507,0,3886.416507,1,51
290.1,301.7,314.9,319.9,320,43,2022-03-04T03:21:40,0,0.234,3.074,0,0,95,40,1,1,3886.416507,3886.416507,0,3886.416507,0,3886.416507,1,52
